fund_name,year,month,average_nav
DSP Small Cap Fund - Regular - Growth,2025,4,164.3472
DSP Small Cap Fund - Regular - Growth,2025,5,169.2332
DSP Small Cap Fund - Regular - Growth,2025,6,174.3051
DSP Small Cap Fund - Regular - Growth,2025,7,170.8929
DSP Small Cap Fund - Regular - Growth,2025,8,180.1544
DSP Small Cap Fund - Regular - Growth,2025,9,197.8263
DSP Small Cap Fund - Regular - Growth,2025,10,217.5214
DSP Small Cap Fund - Regular - Growth,2025,11,247.3279
DSP Small Cap Fund - Regular - Growth,2025,12,253.7402
DSP Small Cap Fund - Regular - Growth,2026,1,253.5149
DSP Small Cap Fund - Regular - Growth,2026,2,249.4288
DSP Small Cap Fund - Regular - Growth,2026,3,263.0494
DSP Small Cap Fund - Regular - Growth,2026,4,305.9397
DSP Small Cap Fund - Regular - Growth,2026,5,303.7226
DSP Top 100 Equity Fund - Regular - Growth,2022,1,333.1442
DSP Top 100 Equity Fund - Regular - Growth,2022,2,305.5258
DSP Top 100 Equity Fund - Regular - Growth,2022,3,315.4695
DSP Top 100 Equity Fund - Regular - Growth,2022,4,332.7673
DSP Top 100 Equity Fund - Regular - Growth,2022,5,344.9528
DSP Top 100 Equity Fund - Regular - Growth,2022,6,337.9214
DSP Top 100 Equity Fund - Regular - Growth,2022,7,331.9441
DSP Top 100 Equity Fund - Regular - Growth,2022,8,342.1441
DSP Top 100 Equity Fund - Regular - Growth,2022,9,344.0245
DSP Top 100 Equity Fund - Regular - Growth,2022,10,335.3614
DSP Top 100 Equity Fund - Regular - Growth,2022,11,350.9062
DSP Top 100 Equity Fund - Regular - Growth,2022,12,359.2054
DSP Top 100 Equity Fund - Regular - Growth,2023,1,370.9606
DSP Top 100 Equity Fund - Regular - Growth,2023,2,380.9342
DSP Top 100 Equity Fund - Regular - Growth,2023,3,384.3941
DSP Top 100 Equity Fund - Regular - Growth,2023,4,359.578
DSP Top 100 Equity Fund - Regular - Growth,2023,5,361.716
DSP Top 100 Equity Fund - Regular - Growth,2023,6,386.7523
DSP Top 100 Equity Fund - Regular - Growth,2023,7,390.5972
DSP Top 100 Equity Fund - Regular - Growth,2023,8,395.9227
DSP Top 100 Equity Fund - Regular - Growth,2023,9,381.3974
DSP Top 100 Equity Fund - Regular - Growth,2023,10,366.3445
DSP Top 100 Equity Fund - Regular - Growth,2023,11,364.7587
DSP Top 100 Equity Fund - Regular - Growth,2023,12,383.9644
DSP Top 100 Equity Fund - Regular - Growth,2024,1,393.1226
DSP Top 100 Equity Fund - Regular - Growth,2024,2,399.7647
DSP Top 100 Equity Fund - Regular - Growth,2024,3,422.4291
DSP Top 100 Equity Fund - Regular - Growth,2024,4,403.9325
DSP Top 100 Equity Fund - Regular - Growth,2024,5,416.7438
DSP Top 100 Equity Fund - Regular - Growth,2024,6,421.0662
DSP Top 100 Equity Fund - Regular - Growth,2024,7,467.3431
DSP Top 100 Equity Fund - Regular - Growth,2024,8,488.8569
DSP Top 100 Equity Fund - Regular - Growth,2024,9,468.5923
DSP Top 100 Equity Fund - Regular - Growth,2024,10,478.8565
DSP Top 100 Equity Fund - Regular - Growth,2024,11,464.3796
DSP Top 100 Equity Fund - Regular - Growth,2024,12,450.4029
DSP Top 100 Equity Fund - Regular - Growth,2025,1,475.6912
DSP Top 100 Equity Fund - Regular - Growth,2025,2,493.2605
DSP Top 100 Equity Fund - Regular - Growth,2025,3,493.9708
DSP Top 100 Equity Fund - Regular - Growth,2025,4,518.059
DSP Top 100 Equity Fund - Regular - Growth,2025,5,512.1466
DSP Top 100 Equity Fund - Regular - Growth,2025,6,509.2267
DSP Top 100 Equity Fund - Regular - Growth,2025,7,514.1394
DSP Top 100 Equity Fund - Regular - Growth,2025,8,524.9291
DSP Top 100 Equity Fund - Regular - Growth,2025,9,542.7163
DSP Top 100 Equity Fund - Regular - Growth,2025,10,557.1728
DSP Top 100 Equity Fund - Regular - Growth,2025,11,589.1943
DSP Top 100 Equity Fund - Regular - Growth,2025,12,615.8759
DSP Top 100 Equity Fund - Regular - Growth,2026,1,634.2956
DSP Top 100 Equity Fund - Regular - Growth,2026,2,627.9911
DSP Top 100 Equity Fund - Regular - Growth,2026,3,611.2018
DSP Top 100 Equity Fund - Regular - Growth,2026,4,606.4239
DSP Top 100 Equity Fund - Regular - Growth,2026,5,613.7017
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2022,1,113.8005
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2022,2,110.1765
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2022,3,103.7144
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2022,4,103.2567
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2022,5,102.3291
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2022,6,104.9297
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2022,7,106.2821
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2022,8,112.7683
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2022,9,111.2327
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2022,10,115.2851
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2022,11,117.1611
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2022,12,114.4796
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2023,1,115.6069
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2023,2,116.6452
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2023,3,125.6224
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2023,4,132.3893
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2023,5,134.4077
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2023,6,131.5776
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2023,7,130.0219
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2023,8,129.2546
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2023,9,133.7896
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2023,10,143.4435
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2023,11,143.2375
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2023,12,144.8631
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2024,1,141.4017
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2024,2,139.5349
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2024,3,134.4327
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2024,4,135.7169
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2024,5,136.483
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2024,6,131.7535
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2024,7,133.1321
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2024,8,137.7414
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2024,9,145.0227
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2024,10,154.2117
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2024,11,153.4826
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2024,12,156.5599
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2025,1,151.2411
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2025,2,154.0097
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2025,3,165.0753
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2025,4,162.7797
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2025,5,162.3549
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2025,6,159.8033
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2025,7,160.3343
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2025,8,144.0461
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2025,9,137.5954
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2025,10,148.7692
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2025,11,160.5713
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2025,12,157.4323
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2026,1,159.1098
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2026,2,168.2561
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2026,3,172.0101
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2026,4,179.4685
HDFC Mid-Cap Opportunities Fund - Direct - Growth,2026,5,187.8403
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2022,1,104.8849
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2022,2,106.0319
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2022,3,104.9016
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2022,4,96.8746
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2022,5,96.486
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2022,6,99.6605
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2022,7,106.4923
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2022,8,107.6201
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2022,9,106.7635
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2022,10,109.2822
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2022,11,109.5344
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2022,12,118.0348
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2023,1,128.6138
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2023,2,134.5544
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2023,3,139.8324
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2023,4,138.81
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2023,5,146.9665
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2023,6,144.62
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2023,7,143.6912
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2023,8,141.9241
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2023,9,148.5985
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2023,10,154.5367
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2023,11,156.5685
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2023,12,166.5926
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2024,1,168.2846
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2024,2,171.0962
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2024,3,176.0163
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2024,4,178.142
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2024,5,188.1203
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2024,6,201.3405
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2024,7,216.4342
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2024,8,226.8977
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2024,9,232.317
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2024,10,246.7036
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2024,11,240.7237
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2024,12,247.6595
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2025,1,248.5486
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2025,2,233.481
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2025,3,224.266
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2025,4,223.6694
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2025,5,221.4231
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2025,6,229.662
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2025,7,235.9019
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2025,8,258.7648
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2025,9,259.5377
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2025,10,264.6949
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2025,11,259.1477
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2025,12,273.9254
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2026,1,295.3339
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2026,2,329.9236
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2026,3,340.6847
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2026,4,359.2601
HDFC Mid-Cap Opportunities Fund - Regular - Growth,2026,5,351.2722
HDFC Short Term Debt Fund - Regular - Growth,2022,1,26.2651
HDFC Short Term Debt Fund - Regular - Growth,2022,2,26.4481
HDFC Short Term Debt Fund - Regular - Growth,2022,3,26.7241
HDFC Short Term Debt Fund - Regular - Growth,2022,4,27.0449
HDFC Short Term Debt Fund - Regular - Growth,2022,5,27.1752
HDFC Short Term Debt Fund - Regular - Growth,2022,6,27.3406
HDFC Short Term Debt Fund - Regular - Growth,2022,7,27.5134
HDFC Short Term Debt Fund - Regular - Growth,2022,8,27.6002
HDFC Short Term Debt Fund - Regular - Growth,2022,9,27.5092
HDFC Short Term Debt Fund - Regular - Growth,2022,10,27.2839
HDFC Short Term Debt Fund - Regular - Growth,2022,11,27.3971
HDFC Short Term Debt Fund - Regular - Growth,2022,12,27.4759
HDFC Short Term Debt Fund - Regular - Growth,2023,1,27.8591
HDFC Short Term Debt Fund - Regular - Growth,2023,2,28.1355
HDFC Short Term Debt Fund - Regular - Growth,2023,3,28.2591
HDFC Short Term Debt Fund - Regular - Growth,2023,4,28.2733
HDFC Short Term Debt Fund - Regular - Growth,2023,5,28.5232
HDFC Short Term Debt Fund - Regular - Growth,2023,6,28.2245
HDFC Short Term Debt Fund - Regular - Growth,2023,7,27.6725
HDFC Short Term Debt Fund - Regular - Growth,2023,8,28.1797
HDFC Short Term Debt Fund - Regular - Growth,2023,9,28.5404
HDFC Short Term Debt Fund - Regular - Growth,2023,10,28.601
HDFC Short Term Debt Fund - Regular - Growth,2023,11,28.5253
HDFC Short Term Debt Fund - Regular - Growth,2023,12,28.3998
HDFC Short Term Debt Fund - Regular - Growth,2024,1,28.6171
HDFC Short Term Debt Fund - Regular - Growth,2024,2,28.4937
HDFC Short Term Debt Fund - Regular - Growth,2024,3,28.1784
HDFC Short Term Debt Fund - Regular - Growth,2024,4,28.114
HDFC Short Term Debt Fund - Regular - Growth,2024,5,28.1332
HDFC Short Term Debt Fund - Regular - Growth,2024,6,28.5202
HDFC Short Term Debt Fund - Regular - Growth,2024,7,28.8731
HDFC Short Term Debt Fund - Regular - Growth,2024,8,29.0233
HDFC Short Term Debt Fund - Regular - Growth,2024,9,29.2366
HDFC Short Term Debt Fund - Regular - Growth,2024,10,29.276
HDFC Short Term Debt Fund - Regular - Growth,2024,11,29.4563
HDFC Short Term Debt Fund - Regular - Growth,2024,12,29.5595
HDFC Short Term Debt Fund - Regular - Growth,2025,1,29.6838
HDFC Short Term Debt Fund - Regular - Growth,2025,2,29.8482
HDFC Short Term Debt Fund - Regular - Growth,2025,3,30.0264
HDFC Short Term Debt Fund - Regular - Growth,2025,4,30.2202
HDFC Short Term Debt Fund - Regular - Growth,2025,5,30.714
HDFC Short Term Debt Fund - Regular - Growth,2025,6,31.0316
HDFC Short Term Debt Fund - Regular - Growth,2025,7,31.3609
HDFC Short Term Debt Fund - Regular - Growth,2025,8,31.7573
HDFC Short Term Debt Fund - Regular - Growth,2025,9,31.2196
HDFC Short Term Debt Fund - Regular - Growth,2025,10,31.6558
HDFC Short Term Debt Fund - Regular - Growth,2025,11,32.3941
HDFC Short Term Debt Fund - Regular - Growth,2025,12,32.424
HDFC Short Term Debt Fund - Regular - Growth,2026,1,32.1311
HDFC Short Term Debt Fund - Regular - Growth,2026,2,31.9742
HDFC Short Term Debt Fund - Regular - Growth,2026,3,31.5655
HDFC Short Term Debt Fund - Regular - Growth,2026,4,31.9267
HDFC Short Term Debt Fund - Regular - Growth,2026,5,31.8908
HDFC Top 100 Fund - Direct Plan - Growth,2022,1,553.2827
HDFC Top 100 Fund - Direct Plan - Growth,2022,2,544.9917
HDFC Top 100 Fund - Direct Plan - Growth,2022,3,548.7663
HDFC Top 100 Fund - Direct Plan - Growth,2022,4,578.6486
HDFC Top 100 Fund - Direct Plan - Growth,2022,5,597.9687
HDFC Top 100 Fund - Direct Plan - Growth,2022,6,658.0662
HDFC Top 100 Fund - Direct Plan - Growth,2022,7,647.004
HDFC Top 100 Fund - Direct Plan - Growth,2022,8,647.7801
HDFC Top 100 Fund - Direct Plan - Growth,2022,9,675.4238
HDFC Top 100 Fund - Direct Plan - Growth,2022,10,666.6887
HDFC Top 100 Fund - Direct Plan - Growth,2022,11,662.6099
HDFC Top 100 Fund - Direct Plan - Growth,2022,12,648.9731
HDFC Top 100 Fund - Direct Plan - Growth,2023,1,646.2434
HDFC Top 100 Fund - Direct Plan - Growth,2023,2,657.917
HDFC Top 100 Fund - Direct Plan - Growth,2023,3,672.5624
HDFC Top 100 Fund - Direct Plan - Growth,2023,4,684.5353
HDFC Top 100 Fund - Direct Plan - Growth,2023,5,694.6762
HDFC Top 100 Fund - Direct Plan - Growth,2023,6,738.1426
HDFC Top 100 Fund - Direct Plan - Growth,2023,7,726.1929
HDFC Top 100 Fund - Direct Plan - Growth,2023,8,705.402
HDFC Top 100 Fund - Direct Plan - Growth,2023,9,744.4619
HDFC Top 100 Fund - Direct Plan - Growth,2023,10,768.1806
HDFC Top 100 Fund - Direct Plan - Growth,2023,11,804.5311
HDFC Top 100 Fund - Direct Plan - Growth,2023,12,833.7738
HDFC Top 100 Fund - Direct Plan - Growth,2024,1,816.3767
HDFC Top 100 Fund - Direct Plan - Growth,2024,2,828.0537
HDFC Top 100 Fund - Direct Plan - Growth,2024,3,811.9312
HDFC Top 100 Fund - Direct Plan - Growth,2024,4,818.5228
HDFC Top 100 Fund - Direct Plan - Growth,2024,5,816.3603
HDFC Top 100 Fund - Direct Plan - Growth,2024,6,798.1205
HDFC Top 100 Fund - Direct Plan - Growth,2024,7,820.6857
HDFC Top 100 Fund - Direct Plan - Growth,2024,8,791.6132
HDFC Top 100 Fund - Direct Plan - Growth,2024,9,774.2056
HDFC Top 100 Fund - Direct Plan - Growth,2024,10,762.7665
HDFC Top 100 Fund - Direct Plan - Growth,2024,11,764.9015
HDFC Top 100 Fund - Direct Plan - Growth,2024,12,766.58
HDFC Top 100 Fund - Direct Plan - Growth,2025,1,762.7695
HDFC Top 100 Fund - Direct Plan - Growth,2025,2,785.6045
HDFC Top 100 Fund - Direct Plan - Growth,2025,3,800.7965
HDFC Top 100 Fund - Direct Plan - Growth,2025,4,854.8145
HDFC Top 100 Fund - Direct Plan - Growth,2025,5,917.2531
HDFC Top 100 Fund - Direct Plan - Growth,2025,6,920.7824
HDFC Top 100 Fund - Direct Plan - Growth,2025,7,924.7542
HDFC Top 100 Fund - Direct Plan - Growth,2025,8,951.2618
HDFC Top 100 Fund - Direct Plan - Growth,2025,9,948.504
HDFC Top 100 Fund - Direct Plan - Growth,2025,10,995.3294
HDFC Top 100 Fund - Direct Plan - Growth,2025,11,967.3637
HDFC Top 100 Fund - Direct Plan - Growth,2025,12,1007.4379
HDFC Top 100 Fund - Direct Plan - Growth,2026,1,1050.521
HDFC Top 100 Fund - Direct Plan - Growth,2026,2,1099.5176
HDFC Top 100 Fund - Direct Plan - Growth,2026,3,1158.6381
HDFC Top 100 Fund - Direct Plan - Growth,2026,4,1236.7629
HDFC Top 100 Fund - Direct Plan - Growth,2026,5,1203.6155
HDFC Top 100 Fund - Regular Plan - Growth,2022,1,512.5353
HDFC Top 100 Fund - Regular Plan - Growth,2022,2,513.9306
HDFC Top 100 Fund - Regular Plan - Growth,2022,3,522.5782
HDFC Top 100 Fund - Regular Plan - Growth,2022,4,525.6312
HDFC Top 100 Fund - Regular Plan - Growth,2022,5,504.3125
HDFC Top 100 Fund - Regular Plan - Growth,2022,6,465.137
HDFC Top 100 Fund - Regular Plan - Growth,2022,7,436.746
HDFC Top 100 Fund - Regular Plan - Growth,2022,8,421.3311
HDFC Top 100 Fund - Regular Plan - Growth,2022,9,422.1759
HDFC Top 100 Fund - Regular Plan - Growth,2022,10,431.4175
HDFC Top 100 Fund - Regular Plan - Growth,2022,11,463.6936
HDFC Top 100 Fund - Regular Plan - Growth,2022,12,480.9635
HDFC Top 100 Fund - Regular Plan - Growth,2023,1,490.9673
HDFC Top 100 Fund - Regular Plan - Growth,2023,2,493.1681
HDFC Top 100 Fund - Regular Plan - Growth,2023,3,546.0677
HDFC Top 100 Fund - Regular Plan - Growth,2023,4,566.9077
HDFC Top 100 Fund - Regular Plan - Growth,2023,5,566.0106
HDFC Top 100 Fund - Regular Plan - Growth,2023,6,571.042
HDFC Top 100 Fund - Regular Plan - Growth,2023,7,578.758
HDFC Top 100 Fund - Regular Plan - Growth,2023,8,569.4809
HDFC Top 100 Fund - Regular Plan - Growth,2023,9,577.0378
HDFC Top 100 Fund - Regular Plan - Growth,2023,10,575.2591
HDFC Top 100 Fund - Regular Plan - Growth,2023,11,573.0609
HDFC Top 100 Fund - Regular Plan - Growth,2023,12,582.6872
HDFC Top 100 Fund - Regular Plan - Growth,2024,1,599.3212
HDFC Top 100 Fund - Regular Plan - Growth,2024,2,603.2158
HDFC Top 100 Fund - Regular Plan - Growth,2024,3,635.6954
HDFC Top 100 Fund - Regular Plan - Growth,2024,4,641.0165
HDFC Top 100 Fund - Regular Plan - Growth,2024,5,635.8788
HDFC Top 100 Fund - Regular Plan - Growth,2024,6,655.375
HDFC Top 100 Fund - Regular Plan - Growth,2024,7,644.6187
HDFC Top 100 Fund - Regular Plan - Growth,2024,8,630.2416
HDFC Top 100 Fund - Regular Plan - Growth,2024,9,583.0442
HDFC Top 100 Fund - Regular Plan - Growth,2024,10,551.1506
HDFC Top 100 Fund - Regular Plan - Growth,2024,11,564.8709
HDFC Top 100 Fund - Regular Plan - Growth,2024,12,588.1106
HDFC Top 100 Fund - Regular Plan - Growth,2025,1,589.0825
HDFC Top 100 Fund - Regular Plan - Growth,2025,2,602.4776
HDFC Top 100 Fund - Regular Plan - Growth,2025,3,619.9604
HDFC Top 100 Fund - Regular Plan - Growth,2025,4,611.7436
HDFC Top 100 Fund - Regular Plan - Growth,2025,5,613.659
HDFC Top 100 Fund - Regular Plan - Growth,2025,6,603.4612
HDFC Top 100 Fund - Regular Plan - Growth,2025,7,602.5798
HDFC Top 100 Fund - Regular Plan - Growth,2025,8,590.5114
HDFC Top 100 Fund - Regular Plan - Growth,2025,9,594.9615
HDFC Top 100 Fund - Regular Plan - Growth,2025,10,616.8069
HDFC Top 100 Fund - Regular Plan - Growth,2025,11,601.5346
HDFC Top 100 Fund - Regular Plan - Growth,2025,12,618.9595
HDFC Top 100 Fund - Regular Plan - Growth,2026,1,632.3917
HDFC Top 100 Fund - Regular Plan - Growth,2026,2,593.4026
HDFC Top 100 Fund - Regular Plan - Growth,2026,3,588.144
HDFC Top 100 Fund - Regular Plan - Growth,2026,4,610.2515
HDFC Top 100 Fund - Regular Plan - Growth,2026,5,592.4348
ICICI Pru Bluechip Fund - Direct - Growth,2022,1,61.8823
ICICI Pru Bluechip Fund - Direct - Growth,2022,2,61.7576
ICICI Pru Bluechip Fund - Direct - Growth,2022,3,62.2288
ICICI Pru Bluechip Fund - Direct - Growth,2022,4,63.8961
ICICI Pru Bluechip Fund - Direct - Growth,2022,5,65.7659
ICICI Pru Bluechip Fund - Direct - Growth,2022,6,67.9755
ICICI Pru Bluechip Fund - Direct - Growth,2022,7,69.3833
ICICI Pru Bluechip Fund - Direct - Growth,2022,8,70.5137
ICICI Pru Bluechip Fund - Direct - Growth,2022,9,71.6485
ICICI Pru Bluechip Fund - Direct - Growth,2022,10,71.3909
ICICI Pru Bluechip Fund - Direct - Growth,2022,11,69.7777
ICICI Pru Bluechip Fund - Direct - Growth,2022,12,67.8449
ICICI Pru Bluechip Fund - Direct - Growth,2023,1,67.3794
ICICI Pru Bluechip Fund - Direct - Growth,2023,2,66.3265
ICICI Pru Bluechip Fund - Direct - Growth,2023,3,68.9104
ICICI Pru Bluechip Fund - Direct - Growth,2023,4,69.147
ICICI Pru Bluechip Fund - Direct - Growth,2023,5,66.1824
ICICI Pru Bluechip Fund - Direct - Growth,2023,6,67.7682
ICICI Pru Bluechip Fund - Direct - Growth,2023,7,73.9593
ICICI Pru Bluechip Fund - Direct - Growth,2023,8,81.7506
ICICI Pru Bluechip Fund - Direct - Growth,2023,9,86.1102
ICICI Pru Bluechip Fund - Direct - Growth,2023,10,85.5097
ICICI Pru Bluechip Fund - Direct - Growth,2023,11,86.2175
ICICI Pru Bluechip Fund - Direct - Growth,2023,12,87.9174
ICICI Pru Bluechip Fund - Direct - Growth,2024,1,91.5493
ICICI Pru Bluechip Fund - Direct - Growth,2024,2,93.8111
ICICI Pru Bluechip Fund - Direct - Growth,2024,3,100.8698
ICICI Pru Bluechip Fund - Direct - Growth,2024,4,103.1113
ICICI Pru Bluechip Fund - Direct - Growth,2024,5,106.4151
ICICI Pru Bluechip Fund - Direct - Growth,2024,6,108.9502
ICICI Pru Bluechip Fund - Direct - Growth,2024,7,111.2052
ICICI Pru Bluechip Fund - Direct - Growth,2024,8,114.5665
ICICI Pru Bluechip Fund - Direct - Growth,2024,9,111.3257
ICICI Pru Bluechip Fund - Direct - Growth,2024,10,109.0321
ICICI Pru Bluechip Fund - Direct - Growth,2024,11,112.2477
ICICI Pru Bluechip Fund - Direct - Growth,2024,12,110.6514
ICICI Pru Bluechip Fund - Direct - Growth,2025,1,112.8867
ICICI Pru Bluechip Fund - Direct - Growth,2025,2,116.0229
ICICI Pru Bluechip Fund - Direct - Growth,2025,3,118.2076
ICICI Pru Bluechip Fund - Direct - Growth,2025,4,123.3525
ICICI Pru Bluechip Fund - Direct - Growth,2025,5,128.8257
ICICI Pru Bluechip Fund - Direct - Growth,2025,6,134.1206
ICICI Pru Bluechip Fund - Direct - Growth,2025,7,128.0986
ICICI Pru Bluechip Fund - Direct - Growth,2025,8,125.1808
ICICI Pru Bluechip Fund - Direct - Growth,2025,9,132.0567
ICICI Pru Bluechip Fund - Direct - Growth,2025,10,129.6062
ICICI Pru Bluechip Fund - Direct - Growth,2025,11,133.6094
ICICI Pru Bluechip Fund - Direct - Growth,2025,12,150.5252
ICICI Pru Bluechip Fund - Direct - Growth,2026,1,156.8906
ICICI Pru Bluechip Fund - Direct - Growth,2026,2,155.325
ICICI Pru Bluechip Fund - Direct - Growth,2026,3,158.8097
ICICI Pru Bluechip Fund - Direct - Growth,2026,4,156.2535
ICICI Pru Bluechip Fund - Direct - Growth,2026,5,151.9261
ICICI Pru Bluechip Fund - Regular - Growth,2022,1,58.6932
ICICI Pru Bluechip Fund - Regular - Growth,2022,2,58.8855
ICICI Pru Bluechip Fund - Regular - Growth,2022,3,63.1082
ICICI Pru Bluechip Fund - Regular - Growth,2022,4,64.5453
ICICI Pru Bluechip Fund - Regular - Growth,2022,5,65.976
ICICI Pru Bluechip Fund - Regular - Growth,2022,6,66.019
ICICI Pru Bluechip Fund - Regular - Growth,2022,7,72.1502
ICICI Pru Bluechip Fund - Regular - Growth,2022,8,75.8302
ICICI Pru Bluechip Fund - Regular - Growth,2022,9,73.154
ICICI Pru Bluechip Fund - Regular - Growth,2022,10,74.3468
ICICI Pru Bluechip Fund - Regular - Growth,2022,11,77.1965
ICICI Pru Bluechip Fund - Regular - Growth,2022,12,78.957
ICICI Pru Bluechip Fund - Regular - Growth,2023,1,79.5248
ICICI Pru Bluechip Fund - Regular - Growth,2023,2,77.6852
ICICI Pru Bluechip Fund - Regular - Growth,2023,3,78.4346
ICICI Pru Bluechip Fund - Regular - Growth,2023,4,80.4847
ICICI Pru Bluechip Fund - Regular - Growth,2023,5,79.7505
ICICI Pru Bluechip Fund - Regular - Growth,2023,6,78.6867
ICICI Pru Bluechip Fund - Regular - Growth,2023,7,77.0625
